absins	absence
cíldhød	childhood
Cínéz	Chinese
coklit	chocolate
cop	chop
corj	charge
corm	charm
cort	chart
cortør	charter
cóis	choice
cørc	church
cunk	chunk
cú	chew
cúz	choose
dad	dad
dam	dam
dam	damn
damij	damage
dans	dance
dansing	dancing
dansør	dancer
daún	down
daúntaún	downtown
daút	doubt
dábéú	debut
dá	day
dálé	daily
dánjør	danger
dánjøris	dangerous
dár	dare
dát	date
dátubás	database
dátu	data
dedikát	dedicate
dedlé	deadly
dedlín	deadline
definišin	definition
definitlé	definitely
defisit	deficit
dekád	decade
dek	deck
dekørát	decorate
delikit	delicate
demigrafik	demographic
demikratik	democratic
deminstrášin	demonstration
deminstrát	demonstrate
dens	dense
densité	density
depéøté	deputy
depth	depth
desk	desk
desprit	desperate
despritlé	desperately
destinášin	destination
det	debt
deth	death
devistáting	devastating
devul	devil
dezørt	desert
dékrés	decrease
dél	deal
délør	dealer
dém	deem
dép	deep
déplé	deeply
dér	dear
dér	deer
désint	decent
détáld	detailed
détál	detail
dibát	debate
did	dead
difend	defend
difendint	defendant
difendør	defender
difens	defense
difensiv	defensive
difét	defeat
difikulté	difficulty
difikult	difficult
difín	define
difør	differ
diførins	difference
diførint	different
diførintlé	differently
dig	dig
dignité	dignity
digré	degree
dijitul	digital
dikler	declare
diklín	decline
dikrés	decrease
diktát	dictate
dilá	delay
dilemu	dilemma
dilibritlé	deliberately
dilivøré	delivery
dilivør	deliver
dilít	delight
dimand	demand
dimenšin	dimension
diminiš	diminish
dimokrisé	democracy
diní	deny
diníul	denial
dinør	dinner
dipend	depend
dipending	depending
dipendint	dependent
dip	dip
dipikt	depict
diplimat	diplomat
diplimatik	diplomatic
diplói	deploy
diporcør	departure
diport	depart
diportmint	department
dipósit	deposit
diprest	depressed
diprešin	depression
direkšin	direction
direkt	direct
direktlé	directly
direktør	director
dirív	derive
disábld	disabled
disend	descend
disiplin	discipline
disižin	decision
disíd	decide
diskaúnt	discount
disk	disc
disk	disk
disklóz	disclose
diskórs	discourse
diskørij	discourage
diskriminášin	discrimination
diskripšin	description
diskríb	describe
diskus	discuss
diskušin	discussion
diskuvøré	discovery
diskuvør	discover
dismis	dismiss
disórdør	disorder
dispéút	dispute
dispít	despite
displá	display
distingúiš	distinguish
distinkšin	distinction
distinkt	distinct
distinktiv	distinctive
distins	distance
distint	distant
distørb	disturb
distørbing	disturbing
distrakt	distract
distribéúšin	distribution
distribéút	distribute
distrikt	district
distrói	destroy
distrukšin	destruction
disubilité	disability
disugré	disagree
disupér	disappear
disupóintid	disappointed
disupóintmint	disappointment
diš	dish
ditekt	detect
ditektiv	detective
ditørminášin	determination
ditørmin	determine
divelup	develop
diveluping	developing
divelupmentul	developmental
divelupmint	development
divelupør	developer
divižin	division
divíd	divide
divín	divine
divís	device
divórs	divorce
divót	devote
divørs	diverse
divørsité	diversity
dizastør	disaster
dizéz	disease
dizín	design
dizínør	designer
dizír	desire
dizolv	dissolve
dizørt	dessert
dizørv	deserve
díagnós	diagnose
díagnósis	diagnosis
dí	die
díing	dying
díit	diet
dímind	diamond
dínamik	dynamic
dínamiks	dynamics
díning	dining
díørí	diary
díubétéz	diabetes
díulog	dialogue
dog	dog
dokéømentøré	documentary
dokéømint	document
dok	dock
doktør	doctor
doktrin	doctrine
dol	doll
dominát	dominate
dominint	dominant
don	dawn
dork	dark
dorknis	darkness
dot	dot
dotør	daughter
dó	dough
dómán	domain
dónášin	donation
dónát	donate
dónør	donor
dór	door
dórúá	doorway
dós	dose
døring	during
dørté	dirty
dørt	dirt
draft	draft
drag	drag
draún	drown
drán	drain
dres	dress
drém	dream
drift	drift
dril	drill
drink	drink
drinking	drinking
dríd	dried
drí	dry
drív	drive
dríving	driving
drívør	driver
drívúá	driveway
dro	draw
droing	drawing
dromu	drama
drop	drop
drór	drawer
drug	drug
drumatik	dramatic
drumatiklé	dramatically
drum	drum
drunk	drunk
dubré	debris
dubul	double
Duc	Dutch
duk	duck
dumestik	domestic
dum	dumb
dump	dump
dust	dust
duzin	dozen
dú	do
dú	due
dúté	duty
dhan	than
dhat	that
dhá	they
dhem	them
dhemselvz	themselves
dhen	then
dherbí	thereby
dherfór	therefore
dher	their
dher	there
dhéz	these
dhis	this
dhó	though
dhóz	those
dhu	the
dhus	thus
e-mál	e-mail
edišin	edition
edit	edit
editør	editor
efekt	effect
efektiv	effective
efektivlé	effectively
efektivnis	effectiveness
eført	effort
eg	egg
egzakt	exact
egzaktlé	exactly
egzam	exam
egzaminášin	examination
egzamin	examine
egzampul	example
egzekéøtiv	executive
egzekéúšin	execution
egzibišin	exhibition
egzibit	exhibit
egzist	exist
egzisting	existing
egzistins	existence
egzost	exhaust
egzotik	exotic
ejéøkášin	education
ejéøkášinul	educational
ejéøkát	educate
ejéøkátør	educator
ej	edge
ekilojikul	ecological
ekinomik	economic
ekinomiklé	economically
ekinomiks	economics
ekonimé	economy
ekonimist	economist
ekó	echo
ekscánj	exchange
eksekéút	execute
ekselirát	accelerate
eksepšin	exception
eksept	except
ekseptins	acceptance
eksesiv	excessive
ekséd	exceed
eksilint	excellent
eksit	exit
eksítid	excited
eksíting	exciting
eksítmint	excitement
ekskéús	excuse
ekskéúz	excuse
eksklúd	exclude
eksklúsiv	exclusive
eksklúsivlé	exclusively
eksørsíz	exercise
ekspand	expand
ekspanšin	expansion
ekspedišin	expedition
ekspektášin	expectation
ekspekt	expect
ekspektid	expected
ekspens	expense
ekspens	expensive
ekspiréins	experience
ekspiréinst	experienced
ekspirimentul	experimental
ekspirimint	experiment
eksplán	explain
eksplinášin	explanation
eksplisit	explicit
eksplód	explode
eksplóit	exploit
eksplórášin	exploration
eksplór	explore
eksplóžin	explosion
ekspórt	export
ekspóz	expose
ekspóžør	exposure
ekspørtéz	expertise
ekspørt	expert
ekspres	express
eksprešin	expression
ekstend	extend
ekstendid	extended
ekstensiv	extensive
ekstenšin	extension
ekstent	extent
ekstørnul	external
ekstrém	extreme
ekstrémlé	extremely
ekstrórdineré	extraordinary
ekstru	extra
ekúip	equip
ekúipmint	equipment
ekúité	equity
ekúivilint	equivalent
elbó	elbow
eldør	elder
eldørlé	elderly
elét	elite
elifint	elephant
eligint	elegant
elijibul	eligible
elimentøré	elementary
elimint	element
elivátør	elevator
els	else
elsúer	elsewhere
emberist	embarrassed
embrás	embrace
emfisis	emphasis
emfisíz	emphasize
empír	empire
emplóié	employee
emplói	employ
emplóimint	employment
emplóiør	employer
empté	empty
enakt	enact
enábul	enable
end	end
endlis	endless
endórs	endorse
endør	endure
enébudé	anybody
ené	any
enémór	anymore
enéthing	anything
enéúá	anyway
enéúer	anywhere
enéúun	anyone
enfórs	enforce
enfórsmint	enforcement
engáj	engage
engájmint	engagement
engšis	anxious
enimé	enemy
enjinér	engineer
enjinéring	engineering
enjin	engine
enjói	enjoy
enkaúntør	encounter
enkørij	encourage
enkørijing	encouraging
enksíeté	anxiety
enørjé	energy
enról	enroll
enšør	ensure
entité	entity
entír	entire
entírlé	entirely
entítul	entitle
entør	enter
entørpríz	enterprise
entørtánmint	entertainment
entrens	entrance
entré	entry
enthuzéazm	enthusiasm
envelóp	envelope
envižin	envision
envírnmentul	environmental
envírnmint	environment
enhans	enhance
epidemik	epidemic
episód	episode
eréu	area
eró	arrow
erør	error
eru	era
esá	essay
esens	essence
esenšulé	essentially
esenšul	essential
eskáp	escape
espešulé	especially
establiš	establish
establišmint	establishment
estát	estate
estimátid	estimated
estimit	estimate
ethiks	ethics
ethikul	ethical
ethnik	ethnic
evaléúášin	evaluation
evaléúát	evaluate
evencúulé	eventually
event	event
evidens	evidence
evidint	evident
evilúšin	evolution
evolv	evolve
evør	ever
evrébudé	everybody
evrédá	everyday
evré	every
evréthing	everything
evréúer	everywhere
evréúun	everyone
éa	yeah
éc	each
édhør	either
éel	yell
éeló	yellow
ées	yes
éestørdá	yesterday
éet	yet
égó	ego
égør	eager
éiéld	yield
éiér	year
ékósistum	ecosystem
ékúážin	equation
ékúolité	equality
ékúulé	equally
ékúul	equal
éord	yard
éór	your
éórself	yourself
éórz	yours
Éørupéin	European
ér	ear
ést	east
éstørn	eastern
ét	eat
éting	eating
éung	young
éungstør	youngster
éú	you
éúnéin	union
éúnék	unique
éúnifórm	uniform
éúnité	unity
éúnit	unit
éúnivørs	universe
éúnivørsité	university
éúnivørsul	universal
éúnít	unite
éúnítid	United
éúsful	useful
éús	use
éútilité	utility
éútilíz	utilize
éúth	youth
éúzd	used
éúz	use
éúzør	user
éúžúulé	usually
éúžúul	usual
évin	even
évning	evening
évul	evil
ézé	easy
éz	ease
ézilé	easily
fabrik	fabric
fakt	fact
faktøré	factory
faktør	factor
fakulté	faculty
familé	family
fan	fan
fantastik	fantastic
fantusé	fantasy
fasináting	fascinating
fast	fast
fastør	faster
fašin	fashion
fat	fat
faúndášin	foundation
faúnd	found
faúndør	founder
fád	fade
fáléør	failure
fál	fail
fám	fame
fámis	famous
fánt	faint
fár	fair
fár	fare
fárlé	fairly
fás	face
fát	fate
fátul	fatal
fáth	faith
fávør	favor
fávøribul	favorable
fávrit	favorite
fáz	phase
fedørul	federal
fedhør	feather
feló	fellow
feminist	feminist
fens	fence
festivul	festival
fécør	feature
fédbak	feedback
féd	feed
fé	fee
féld	field
fél	feel
féling	feeling
fémál	female
fér	fear
férs	fierce
féúcør	future
féú	few
féúl	fuel
féúnirul	funeral
féúør	fewer
févør	fever
fifté	fifty
fiftén	fifteen
fifth	fifth
figéør	figure
fiks	fix
fikst	fixed
fikšin	fiction
fil	fill
filisofikul	philosophical
film	film
filosifé	philosophy
filtør	filter
fingør	finger
finiš	finish
finominon	phenomenon
fiskul	fiscal
fist	fist
fiš	fish
fišing	fishing
fišørmin	fisherman
fit	fit
fitnis	fitness
fiziklé	physically
fiziks	physics
fizikul	physical
fizišin	physician
fíbør	fiber
fíl	file
fínans	finance
fínanšul	financial
fínd	find
fínding	finding
fín	fine
fínulé	finally
fínul	final
fír	fire
fít	fight
fíting	fighting
fítør	fighter
fív	five
flag	flag
flaš	flash
flat	flat
flaúr	flour
flaúr	flower
flám	flame
flávør	flavor
fleksibilité	flexibility
fleksibul	flexible
fleš	flesh
flé	flee
flét	fleet
flip	flip
flí	fly
flíing	flying
flít	flight
fló	flow
flór	floor
flót	float
flud	flood
flúid	fluid
fodhør	father
fog	fog
fol	fall
foló	follow
folóing	following
fols	false
folt	fault
for	far
form	farm
formør	farmer
fostør	foster
fók	folk
fókis	focus
fóld	fold
fón	phone
fórcin	fortune
fórcinitlé	fortunately
fórevør	forever
fór	for
fór	four
fórget	forget
fórgiv	forgive
fórin	foreign
fórinør	foreigner
fórist	forest
fórk	fork
fórmat	format
fórmášin	formation
fórméølu	formula
fórm	form
fórmør	former
fórmørlé	formerly
fórmul	formal
fórs	force
fórté	forty
fórth	forth
fórth	fourth
fórum	forum
fórúørd	forward
fórhed	forehead
fótó	photo
fótugraf	photograph
førbid	forbid
førdhørmór	furthermore
før	fur
førm	firm
førmlé	firmly
førnicør	furniture
først	first
føtbol	football
føt	foot
fragmint	fragment
frajul	fragile
frakšin	fraction
francíz	franchise
fraún	frown
frám	frame
frámúørk	framework
fránklé	frankly
fráz	phrase
Frenc	French
frend	friend
frendlé	friendly
frendšip	friendship
freš	fresh
frešmin	freshman
frédum	freedom
fré	free
frékúinsé	frequency
frékúint	frequent
frékúintlé	frequently
frélé	freely
fréz	freeze
Frídá	Friday
frod	fraud
frózin	frozen
frum	from
fruntér	frontier
frunt	front
frustrášin	frustration
frustrát	frustrate
frút	fruit
fuking	fucking
ful-tím	full-time
fulé	fully
ful	full
fumiléør	familiar
fund	fund
fundimentul	fundamental
funding	funding
funé	funny
fun	fun
funkšin	function
funkšinul	functional
fusilitát	facilitate
fusilité	facility
futég	fatigue
futogrifé	photography
futogrifør	photographer
fúd	food
fúl	fool
	
gadhør	gather
gadhøring	gathering
galiksé	galaxy
galøré	gallery
gang	gang
gap	gap
gas	gas
gasilén	gasoline
gá	gay
gám	game
gán	gain
gát	gate
gáz	gaze
gerinté	guarantee
ges	guess
gest	guest
get	get
gér	gear
gift	gift
giftid	gifted
gilté	guilty
gilt	guilt
gitor	guitar
giv	give
givin	given
gíd	guide
gídins	guidance
gídlín	guideline
gí	guy
glad	glad
glans	glance
glas	glass
glimps	glimpse
glób	globe
glóbul	global
glóré	glory
gluv	glove
God	God
golf	golf
gorbij	garbage
gord	guard
gordin	garden
gorlik	garlic
gó	go
góld	gold
góldin	golden
gól	goal
góst	ghost
gót	goat
gød	good
gørl	girl
gørlfrend	girlfriend
gørož	garage
grab	grab
grajúášin	graduation
grajúát	graduate
grajúilé	gradually
grajúit	graduate
grancíld	grandchild
grand	grand
grandfodhør	grandfather
grandmudhør	grandmother
grandperint	grandparent
grant	grant
gras	grass
grasp	grasp
graúnd	ground
gravité	gravity
grád	grade
grá	gray
grán	grain
gráp	grape
grás	grace
grát	great
grátful	grateful
grátist	greatest
grátlé	greatly
gráv	grave
gréf	grief
Grék	Greek
grén	green
grét	greet
grin	grin
grip	grip
gró	grow
gróing	growing
grós	gross
gróšré	grocery
gróth	growth
grúp	group
gun	gun
gut	gut
guvinør	governor
guvørmint	government
guvørn	govern
if	if
ifišinsé	efficiency
ifišint	efficient
ignór	ignore
ilégul	illegal
il	ill
ilnis	illness
ilustrát	illustrate
ilúžin	illusion
imajinášin	imagination
imajin	imagine
imédéit	immediate
imédéitlé	immediately
iméún	immune
imigrášin	immigration
imigrint	immigrant
imij	image
imišin	emission
imóšin	emotion
imóšinulé	emotionally
imóšinul	emotional
imørjensé	emergency
imørj	emerge
imørjing	emerging
impakt	impact
implikášin	implication
implimentášin	implementation
implimint	implement
implí	imply
imposibul	impossible
impórt	import
impórtins	importance
impórtint	important
impórtintlé	importantly
impóz	impose
impres	impress
impresiv	impressive
imprešin	impression
imprúvd	improved
imprúv	improve
imprúvmint	improvement
impuls	impulse
indeks	index
indéd	indeed
Indéin	Indian
indijinis	indigenous
indikášin	indication
indikát	indicate
indikátør	indicator
indipendins	independence
indipendint	independent
indivijúul	individual
industré	industry
industréul	industrial
inevitibul	inevitable
inevitublé	inevitably
infekšin	infection
in	in
infint	infant
inflášin	inflation
inflúens	influence
inflúenšul	influential
infórm	inform
infórmul	informal
inførmášin	information
infrustrukšør	infrastructure
Ingliš	English
ingrédéint	ingredient
inišéát	initiate
inišéitiv	initiative
inišulé	initially
inišul	initial
injøré	injury
injør	injure
inklúd	include
inklúding	including
inkórpørát	incorporate
inkrediblé	incredibly
inkredibul	incredible
inkrés	increase
inkrésing	increasing
inkrésinglé	increasingly
inkrést	increased
inkum	income
inkúiré	inquiry
inmát	inmate
inórmus	enormous
inør	inner
inpøt	input
insekt	insect
insentiv	incentive
insidint	incident
insist	insist
insíd	inside
insít	insight
insørt	insert
inspekšin	inspection
inspektør	inspector
inspirášin	inspiration
inspír	inspire
insted	instead
instinkt	instinct
instins	instance
instint	instant
instintlé	instantly
institúšin	institution
institúšinul	institutional
instol	install
instrukšin	instruction
instrukšinul	instructional
instrukt	instruct
instruktør	instructor
instrumint	instrument
instulášin	installation
inšørins	insurance
intakt	intact
integrité	integrity
intelijins	intelligence
intelijint	intelligent
intend	intend
intens	intense
intensité	intensity
intenšin	intention
intent	intent
intéréør	interior
intigrášin	integration
intigrát	integrate
intigrátid	integrated
intilekšúul	intellectual
intimit	intimate
intørakšin	interaction
intørakt	interact
intørfér	interfere
intørnašinul	international
intørnet	Internet
intørnul	internal
intørpritášin	interpretation
intørprit	interpret
intørupt	interrupt
intørvenšin	intervention
intørvéú	interview
intørvul	interval
intrist	interest
intristid	interested
intristing	interesting
intrudukšin	introduction
intrudús	introduce
intú	into
inuf	enough
inusint	innocent
inuvášin	innovation
inuvátiv	innovative
invád	invade
invážin	invasion
invenšin	invention
invent	invent
inventóré	inventory
invest	invest
investigášin	investigation
investigát	investigate
investigátør	investigator
investmint	investment
investør	investor
invisibul	invisible
invitášin	invitation
invít	invite
involvd	involved
involv	involve
involvmint	involvement
inherint	inherent
inherit	inherit
išéú	issue
Italéin	Italian
it	it
itself	itself
its	its
iuú	ie
íbraú	eyebrow
ídentifikášin	identification
ídentifí	identify
ídentikul	identical
ídentité	identity
ídél	ideal
ídéolijé	ideology
ídéu	idea
ídéulojikul	ideological
ídhør	either
í	eye
Í	I
íkon	icon
íl	aisle
ílind	island
Íriš	Irish
írn	iron
íroniklé	ironically
íruné	irony
ís	ice
ísulášin	isolation
ísulát	isolate
ísulátid	isolated
ítum	item
jakit	jacket
Japinéz	Japanese
jaz	jazz
jál	jail
jendør	gender
jenéúin	genuine
jenørášin	generation
jenørát	generate
jenøris	generous
jenørulé	generally
jenørul	general
jentlé	gently
jentul	gentle
jentulmin	gentleman
jescør	gesture
jet	jet
jénéis	genius
jén	gene
jénz	jeans
jim	gym
jinetik	genetic
jíint	giant
job	job
jo	jaw
jor	jar
jói	joy
jóin	join
jóint	joint
jók	joke
jøré	jury
Jørmin	German
jørné	journey
jørnul	journal
jørnulist	journalist
jørnulizm	journalism
jørør	juror
juj	judge
jujmint	judgment
jump	jump
jungul	jungle
just	just
justifí	justify
justis	justice
júdišul	judicial
júlré	jewelry
júnéør	junior
júrisdikšin	jurisdiction
jús	juice
kab	cab
kabin	cabin
kabinit	cabinet
kac	catch
kalindør	calendar
kalkéølášin	calculation
kalkéølát	calculate
kampán	campaign
kamp	camp
kampis	campus
kamru	camera
kandé	candy
kandidit	candidate
kandul	candle
kan	can
kansør	cancer
kansul	cancel
kanvis	canvas
kap	cap
kapitul	capital
kapšør	capture
kaptin	captain
kast	cast
kaš	cash
kat	cat
katigóré	category
katul	cattle
katulog	catalog
Kathlik	Catholic
kaúc	couch
kaú	cow
kaúnsul	council
kaúnsul	counsel
kaúnsuling	counseling
kaúnsulør	counselor
kaúnté	county
kaúnt	count
kaúntør	counter
kaúntørport	counterpart
kažulté	casualty
kažúul	casual
kábul	cable
káj	cage
kák	cake
káos	chaos
kápibilité	capability
kápibul	capable
kás	case
káv	cave
kemikul	chemical
kemistré	chemistry
keré	carry
keréør	carrier
ker	care
kerfulé	carefully
kerful	careful
keriktør	character
keriktøristik	characteristic
keriktøríz	characterize
kerit	carrot
ké	key
kéøréis	curious
kéøréosité	curiosity
kéør	cure
kép	keep
Kéúbin	Cuban
kéú	cue
kéút	cute
kicin	kitchen
kid	kid
kik	kick
kil	kill
kiling	killing
kilør	killer
kingdum	kingdom
king	king
kis	kiss
kit	kit
kínd	kind
klas	class
klasifí	classify
klasik	classic
klasikul	classical
klasrúm	classroom
klaúd	cloud
klá	clay
klám	claim
klén	clean
klér	clear
klérlé	clearly
klif	cliff
klik	click
kling	cling
klinik	clinic
klinikul	clinical
klip	clip
klíint	client
klím	climb
klímit	climate
klok	clock
kloth	cloth
klozit	closet
klódhing	clothing
klódhz	clothes
klós	close
klósist	closest
klóslé	closely
klósør	closer
klózd	closed
klóz	close
klørk	clerk
klub	club
klustør	cluster
klú	clue
kofé	coffee
kognitiv	cognitive
kolég	colleague
kol	call
kolij	college
koliné	colony
kolm	calm
kolør	collar
kolum	column
kolumnist	columnist
kombat	combat
kombinášin	combination
komin	common
kominlé	commonly
komint	comment
kompinsášin	compensation
kompitišin	competition
komplikátid	complicated
kompréhensiv	comprehensive
komprimíz	compromise
komprubul	comparable
kompuzišin	composition
komudé	comedy
kondukt	conduct
konfidins	confidence
konfidint	confident
konflikt	conflict
konfrins	conference
konfrintášin	confrontation
Kongris	Congress
konkrét	concrete
konsept	concept
konsikúens	consequence
konsikúentlé	consequently
konsintrášin	concentration
konsintrát	concentrate
konsørt	concert
konsørvášin	conservation
konstint	constant
konstintlé	constantly
konstitúšin	constitution
konstitúšinul	constitutional
konstitút	constitute
konstrukt	construct
konšins	conscience
konšis	conscious
konšisnis	consciousness
kontakt	contact
kontekst	context
kontest	contest
kontinint	continent
kontrakt	contract
kontraktør	contractor
kontrast	contrast
kontribéúšin	contribution
kontruvørsé	controversy
kontruvøršul	controversial
kontumplát	contemplate
konvikt	convict
konvørsášin	conversation
kopé	copy
kop	cop
korbin	carbon
korbuhídrát	carbohydrate
kord	card
kor	car
korgó	cargo
korpit	carpet
kort	cart
kortún	cartoon
korv	carve
kost	cost
kostlé	costly
kostúm	costume
kotij	cottage
kotin	cotton
koz	cause
kóc	coach
kód	code
kóilišin	coalition
kóin	coin
kókán	cocaine
kóld	cold
kól	coal
kóopørášin	cooperation
kóopørát	cooperate
kóopøritiv	cooperative
kóp	cope
kórd	cord
Kóréin	Korean
kór	core
kóridór	corridor
kórilášin	correlation
kórispondint	correspondent
kórn	corn
kórnør	corner
kórpørášin	corporation
kórpørit	corporate
kórs	coarse
kórs	course
kórt	court
kórtrúm	courtroom
kóst	coast
kóstul	coastal
kót	coat
kød	could
køké	cookie
køk	cook
køking	cooking
kørekt	correct
kørektlé	correctly
kørér	career
kørij	courage
kørikéølum	curriculum
kørinsé	currency
kørint	current
kørintlé	currently
kørtin	curtain
kørupšin	corruption
kørv	curve
køúórdinát	coordinate
køúórdinátør	coordinator
køúórdinits	coordinates
kraft	craft
krak	crack
kraš	crash
kraúd	crowd
kraúdid	crowded
krázé	crazy
kredibilité	credibility
kredit	credit
kréášin	creation
kréát	create
kréátiv	creative
kréátivité	creativity
krécør	creature
krém	cream
kriminul	criminal
Kriscéanité	Christianity
Kriscin	Christian
Krismis	Christmas
kristul	crystal
kritik	critic
kritikul	critical
kritisizm	criticism
kritisíz	criticize
krí	cry
krím	crime
krísis	crisis
krítéréu	criteria
krol	crawl
kronik	chronic
krop	crop
kros	cross
kruš	crush
krú	crew
krúl	cruel
krúšul	crucial
krúz	cruise
kulabørášin	collaboration
kulaps	collapse
kulcør	culture
kulcørul	cultural
kulekšin	collection
kulekt	collect
kulektiv	collective
kulektør	collector
kulestørol	cholesterol
kulónéul	colonial
kulør	color
kulørful	colorful
kumand	command
kumandør	commander
kumbínd	combined
kumbín	combine
kuméúnikášin	communication
kuméúnikát	communicate
kuméúnité	community
kum	come
kumført	comfort
kumftørbul	comfortable
kuming	coming
kumišin	commission
kumišinør	commissioner
kumité	committee
kumit	commit
kumitmint	commitment
kumodité	commodity
kumøršul	commercial
kumpanéin	companion
kumpaúnd	compound
kumpel	compel
kumpeling	compelling
kumper	compare
kumperisin	comparison
